Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
nativecalls closure_compiler,229,108,176,100,121,53,44,0.62882096069868997912,0.56818181818181823228,0.91743119266055050964,0.70175438596491235277
nativecalls closure_compiler npm_cg,229,108,170,98,121,59,48,0.63755458515283847110,0.57647058823529406801,0.89908256880733949945,0.70250896057347667067
nativecalls closure_compiler npm_cg tajs,229,108,170,98,121,59,48,0.63755458515283847110,0.57647058823529406801,0.89908256880733949945,0.70250896057347667067
nativecalls closure_compiler npm_cg tajs acg,229,108,52,39,121,177,107,0.63755458515283847110,0.75000000000000000000,0.35779816513761469876,0.48447204968944096448
nativecalls closure_compiler npm_cg acg,229,108,52,39,121,177,107,0.63755458515283847110,0.75000000000000000000,0.35779816513761469876,0.48447204968944096448
nativecalls closure_compiler tajs,229,108,176,100,121,53,44,0.62882096069868997912,0.56818181818181823228,0.91743119266055050964,0.70175438596491235277
nativecalls closure_compiler tajs acg,229,108,52,39,121,177,107,0.63755458515283847110,0.75000000000000000000,0.35779816513761469876,0.48447204968944096448
nativecalls closure_compiler acg,229,108,52,39,121,177,107,0.63755458515283847110,0.75000000000000000000,0.35779816513761469876,0.48447204968944096448
nativecalls npm_cg,229,108,204,102,121,25,18,0.52401746724890829743,0.50000000000000000000,0.93577981651376151984,0.65175718849840247326
nativecalls npm_cg tajs,229,108,204,102,121,25,18,0.52401746724890829743,0.50000000000000000000,0.93577981651376151984,0.65175718849840247326
nativecalls npm_cg tajs acg,229,108,56,41,121,173,105,0.63755458515283847110,0.73214285714285709528,0.37614678899082570895,0.49696969696969700570
nativecalls npm_cg acg,229,108,56,41,121,173,105,0.63755458515283847110,0.73214285714285709528,0.37614678899082570895,0.49696969696969700570
nativecalls tajs,229,108,228,108,121,1,0,0.47161572052401745658,0.47368421052631576318,0.99082568807339455041,0.64094955489614247046
nativecalls tajs acg,229,108,56,41,121,173,105,0.63755458515283847110,0.73214285714285709528,0.37614678899082570895,0.49696969696969700570
nativecalls acg,229,108,56,41,121,173,105,0.63755458515283847110,0.73214285714285709528,0.37614678899082570895,0.49696969696969700570
dynamic,229,108,114,108,121,115,114,0.96943231441048038910,0.94736842105263152636,0.99082568807339455041,0.96860986547085192733
dynamic closure_compiler,229,108,101,100,121,128,119,0.95633187772925765113,0.99009900990099009022,0.91743119266055050964,0.95238095238095243911
dynamic closure_compiler npm_cg,229,108,99,98,121,130,119,0.94759825327510915915,0.98989898989898994497,0.89908256880733949945,0.94230769230769240163
dynamic closure_compiler npm_cg tajs,229,108,99,98,121,130,119,0.94759825327510915915,0.98989898989898994497,0.89908256880733949945,0.94230769230769240163
dynamic closure_compiler npm_cg tajs acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
dynamic closure_compiler npm_cg acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
dynamic closure_compiler tajs,229,108,101,100,121,128,119,0.95633187772925765113,0.99009900990099009022,0.91743119266055050964,0.95238095238095243911
dynamic closure_compiler tajs acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
dynamic closure_compiler acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
dynamic npm_cg,229,108,107,102,121,122,115,0.94759825327510915915,0.95327102803738317238,0.93577981651376151984,0.94444444444444453080
dynamic npm_cg tajs,229,108,107,102,121,122,115,0.94759825327510915915,0.95327102803738317238,0.93577981651376151984,0.94444444444444453080
dynamic npm_cg tajs acg,229,108,42,41,121,187,119,0.69868995633187769290,0.97619047619047616404,0.37614678899082570895,0.54304635761589403753
dynamic npm_cg acg,229,108,42,41,121,187,119,0.69868995633187769290,0.97619047619047616404,0.37614678899082570895,0.54304635761589403753
dynamic tajs,229,108,114,108,121,115,114,0.96943231441048038910,0.94736842105263152636,0.99082568807339455041,0.96860986547085192733
dynamic tajs acg,229,108,42,41,121,187,119,0.69868995633187769290,0.97619047619047616404,0.37614678899082570895,0.54304635761589403753
dynamic acg,229,108,42,41,121,187,119,0.69868995633187769290,0.97619047619047616404,0.37614678899082570895,0.54304635761589403753
closure_compiler,229,108,177,101,121,52,44,0.63318777292576422511,0.57062146892655363217,0.92660550458715595923,0.70629370629370624712
closure_compiler npm_cg,229,108,171,99,121,58,48,0.64192139737991271708,0.57894736842105265495,0.90825688073394494904,0.70714285714285707307
closure_compiler npm_cg tajs,229,108,171,99,121,58,48,0.64192139737991271708,0.57894736842105265495,0.90825688073394494904,0.70714285714285707307
closure_compiler npm_cg tajs acg,229,108,53,40,121,176,107,0.64192139737991271708,0.75471698113207552616,0.36697247706422020386,0.49382716049382713308
closure_compiler npm_cg acg,229,108,53,40,121,176,107,0.64192139737991271708,0.75471698113207552616,0.36697247706422020386,0.49382716049382713308
closure_compiler tajs,229,108,177,101,121,52,44,0.63318777292576422511,0.57062146892655363217,0.92660550458715595923,0.70629370629370624712
closure_compiler tajs acg,229,108,53,40,121,176,107,0.64192139737991271708,0.75471698113207552616,0.36697247706422020386,0.49382716049382713308
closure_compiler acg,229,108,53,40,121,176,107,0.64192139737991271708,0.75471698113207552616,0.36697247706422020386,0.49382716049382713308
npm_cg,229,108,205,103,121,24,18,0.52838427947598254342,0.50243902439024390461,0.94495412844036696942,0.65605095541401281523
npm_cg tajs,229,108,205,103,121,24,18,0.52838427947598254342,0.50243902439024390461,0.94495412844036696942,0.65605095541401281523
npm_cg tajs acg,229,108,57,42,121,172,105,0.64192139737991271708,0.73684210526315785383,0.38532110091743121405,0.50602409638554213256
npm_cg acg,229,108,57,42,121,172,105,0.64192139737991271708,0.73684210526315785383,0.38532110091743121405,0.50602409638554213256
tajs,229,108,229,109,121,0,0,0.47598253275109170257,0.47598253275109170257,1.00000000000000000000,0.64497041420118339516
tajs acg,229,108,57,42,121,172,105,0.64192139737991271708,0.73684210526315785383,0.38532110091743121405,0.50602409638554213256
acg,229,108,57,42,121,172,105,0.64192139737991271708,0.73684210526315785383,0.38532110091743121405,0.50602409638554213256
