Analyzer,Accuracy,Precision,Recall,Fscore
closure_compiler+wala,0.50,0.51,0.25,0.28
closure_compiler+wala+npm_cg,0.50,0.51,0.25,0.28
closure_compiler+wala+npm_cg+tajs,0.50,0.51,0.26,0.29
closure_compiler+wala+npm_cg+tajs+acg,0.60,0.63,0.67,0.63
closure_compiler+wala+npm_cg+acg,0.60,0.63,0.67,0.63
closure_compiler+wala+tajs,0.50,0.51,0.26,0.29
closure_compiler+wala+tajs+acg,0.60,0.63,0.67,0.63
closure_compiler+wala+acg,0.60,0.63,0.67,0.63
closure_compiler+npm_cg,0.48,0.51,0.23,0.27
closure_compiler+npm_cg+tajs,0.48,0.51,0.23,0.27
closure_compiler+npm_cg+tajs+acg,0.60,0.63,0.67,0.63
closure_compiler+npm_cg+acg,0.60,0.63,0.67,0.63
closure_compiler+tajs,0.48,0.51,0.23,0.27
closure_compiler+tajs+acg,0.60,0.63,0.67,0.63
closure_compiler+acg,0.60,0.63,0.67,0.63
wala,0.50,0.49,0.02,0.02
wala+npm_cg,0.50,0.49,0.02,0.02
wala+npm_cg+tajs,0.50,0.49,0.02,0.02
wala+npm_cg+tajs+acg,0.60,0.62,0.63,0.60
wala+npm_cg+acg,0.60,0.62,0.63,0.60
wala+tajs,0.50,0.49,0.02,0.02
wala+tajs+acg,0.60,0.62,0.63,0.60
wala+acg,0.60,0.62,0.63,0.60
npm_cg,0.49,0.49,0.00,0.00
npm_cg+tajs,0.49,0.49,0.00,0.00
npm_cg+tajs+acg,0.60,0.62,0.63,0.60
npm_cg+acg,0.60,0.62,0.63,0.60
tajs,0.49,0.49,0.00,0.00
tajs+acg,0.60,0.62,0.63,0.60
acg,0.60,0.62,0.63,0.60
