Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
nativecalls closure_compiler,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler wala,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler wala npm_cg,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler wala npm_cg tajs,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler wala npm_cg tajs acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler wala npm_cg acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler wala tajs,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler wala tajs acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler wala acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler npm_cg,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler npm_cg tajs,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler npm_cg tajs acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler npm_cg acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler tajs,867,462,829,451,405,40,27,0.5513,0.5440,0.0667,0.1188
nativecalls closure_compiler tajs acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls closure_compiler acg,867,462,319,203,405,550,289,0.5675,0.6364,0.7136,0.6728
nativecalls wala,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls wala npm_cg,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls wala npm_cg tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls wala npm_cg tajs acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls wala npm_cg acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls wala tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls wala tajs acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls wala acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls npm_cg,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls npm_cg tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls npm_cg tajs acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls npm_cg acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
nativecalls tajs acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
nativecalls acg,867,462,321,204,405,546,288,0.5675,0.6355,0.7111,0.6712
closure_compiler,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler wala,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler wala npm_cg,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler wala npm_cg tajs,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler wala npm_cg tajs acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler wala npm_cg acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler wala tajs,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler wala tajs acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler wala acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler npm_cg,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler npm_cg tajs,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler npm_cg tajs acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler npm_cg acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler tajs,867,462,834,454,405,35,25,0.5525,0.5444,0.0617,0.1109
closure_compiler tajs acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
closure_compiler acg,867,462,353,230,405,516,282,0.5905,0.6516,0.6963,0.6732
wala,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
wala npm_cg,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
wala npm_cg tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
wala npm_cg tajs acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
wala npm_cg acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
wala tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
wala tajs acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
wala acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
npm_cg,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
npm_cg tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
npm_cg tajs acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
npm_cg acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
tajs,867,462,867,462,405,0,0,0.5329,0.5329,0.0000,0.0000
tajs acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
acg,867,462,355,231,405,512,281,0.5905,0.6507,0.6938,0.6716
