Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static npm_cg acg,19,6,7,5,13,12,10,0.78947368421052632748,0.71428571428571430157,0.71428571428571430157,0.71428571428571430157
static tajs,19,6,11,5,13,8,6,0.57894736842105265495,0.45454545454545453032,0.71428571428571430157,0.55555555555555558023
static tajs acg,19,6,7,5,13,12,10,0.78947368421052632748,0.71428571428571430157,0.71428571428571430157,0.71428571428571430157
static acg,19,6,7,5,13,12,10,0.78947368421052632748,0.71428571428571430157,0.71428571428571430157,0.71428571428571430157
nativecalls,19,6,19,7,13,0,0,0.36842105263157892692,0.36842105263157892692,1.00000000000000000000,0.53846153846153843592
nativecalls dynamic,19,6,12,6,13,7,6,0.63157894736842101757,0.50000000000000000000,0.85714285714285709528,0.63157894736842101757
nativecalls dynamic closure_compiler,19,6,12,6,13,7,6,0.63157894736842101757,0.50000000000000000000,0.85714285714285709528,0.63157894736842101757
nativecalls dynamic closure_compiler npm_cg,19,6,11,6,13,8,7,0.68421052631578949121,0.54545454545454541417,0.85714285714285709528,0.66666666666666651864
nativecalls dynamic closure_compiler npm_cg tajs,19,6,11,6,13,8,7,0.68421052631578949121,0.54545454545454541417,0.85714285714285709528,0.66666666666666651864
nativecalls dynamic closure_compiler npm_cg tajs acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
nativecalls dynamic closure_compiler npm_cg acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
nativecalls dynamic closure_compiler tajs,19,6,11,6,13,8,7,0.68421052631578949121,0.54545454545454541417,0.85714285714285709528,0.66666666666666651864
nativecalls dynamic closure_compiler tajs acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
nativecalls dynamic closure_compiler acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
