Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
nativecalls closure_compiler,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls closure_compiler wala,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls closure_compiler wala npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls closure_compiler wala npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls closure_compiler wala npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler wala npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler wala tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls closure_compiler wala tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler wala acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler npm_cg,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls closure_compiler npm_cg tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls closure_compiler npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls closure_compiler tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls closure_compiler acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls wala,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls wala npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls wala npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls wala npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls wala npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls wala tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
nativecalls wala tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls wala acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls npm_cg,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls npm_cg tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
nativecalls tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
nativecalls acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
closure_compiler,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
closure_compiler wala,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
closure_compiler wala npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
closure_compiler wala npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
closure_compiler wala npm_cg tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler wala npm_cg acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler wala tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
closure_compiler wala tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler wala acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler npm_cg,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
closure_compiler npm_cg tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
closure_compiler npm_cg tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler npm_cg acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
closure_compiler tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
closure_compiler acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
wala,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
wala npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
wala npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
wala npm_cg tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
wala npm_cg acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
wala tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
wala tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
wala acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
npm_cg,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
npm_cg tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
npm_cg tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
npm_cg acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
tajs,16,4,16,4,12,0,0,0.2500,0.2500,0.0000,0.0000
tajs acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
acg,16,4,5,3,12,11,10,0.8125,0.6000,0.8333,0.6977
