Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static acg,1243,779,328,280,464,915,416,0.5599,0.8537,0.8966,0.8746
nativecalls,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls closure_compiler,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler wala,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler wala npm_cg,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler wala npm_cg tajs,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler wala npm_cg tajs acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler wala npm_cg acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler wala tajs,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler wala tajs acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler wala acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler npm_cg,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler npm_cg tajs,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler npm_cg tajs acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler npm_cg acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler tajs,1243,779,773,536,464,471,227,0.6138,0.6934,0.4892,0.5737
nativecalls closure_compiler tajs acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls closure_compiler acg,1243,779,491,373,464,753,346,0.5784,0.7597,0.7457,0.7526
nativecalls wala,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls wala npm_cg,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls wala npm_cg tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls wala npm_cg tajs acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls wala npm_cg acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls wala tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls wala tajs acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls wala acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls npm_cg,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls npm_cg tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls npm_cg tajs acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls npm_cg acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
nativecalls tajs acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
nativecalls acg,1243,779,551,410,464,692,323,0.5897,0.7441,0.6961,0.7193
closure_compiler,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler wala,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler wala npm_cg,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler wala npm_cg tajs,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler wala npm_cg tajs acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler wala npm_cg acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler wala tajs,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler wala tajs acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler wala acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler npm_cg,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler npm_cg tajs,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler npm_cg tajs acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler npm_cg acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler tajs,1243,779,791,547,464,453,220,0.6171,0.6915,0.4741,0.5626
closure_compiler tajs acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
closure_compiler acg,1243,779,516,392,464,728,340,0.5889,0.7597,0.7328,0.7460
wala,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
wala npm_cg,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
wala npm_cg tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
wala npm_cg tajs acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
wala npm_cg acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
wala tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
wala tajs acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
wala acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
npm_cg,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
npm_cg tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
npm_cg tajs acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
npm_cg acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
tajs,1243,779,1243,779,464,0,0,0.6267,0.6267,0.0000,0.0000
tajs acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
acg,1243,779,576,429,464,667,317,0.6002,0.7448,0.6832,0.7127
