Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static npm_cg,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static npm_cg tajs,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static npm_cg tajs acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
static npm_cg acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
static tajs,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static tajs acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
static acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
nativecalls,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls closure_compiler,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler wala,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler wala npm_cg,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler wala npm_cg tajs,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler wala npm_cg tajs acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler wala npm_cg acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler wala tajs,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler wala tajs acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler wala acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler npm_cg,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler npm_cg tajs,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler npm_cg tajs acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler npm_cg acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler tajs,999,754,586,463,245,414,122,0.5856,0.7901,0.4980,0.6109
nativecalls closure_compiler tajs acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls closure_compiler acg,999,754,361,304,245,639,188,0.4925,0.8421,0.7673,0.8030
nativecalls wala,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls wala npm_cg,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls wala npm_cg tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls wala npm_cg tajs acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls wala npm_cg acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls wala tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls wala tajs acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls wala acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls npm_cg,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls npm_cg tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
nativecalls npm_cg tajs acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls npm_cg acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
