Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
nativecalls dynamic closure_compiler npm_cg tajs,80,11,43,11,69,37,37,0.59999999999999997780,0.25581395348837210335,1.00000000000000000000,0.40740740740740744030
nativecalls dynamic closure_compiler npm_cg tajs acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic closure_compiler npm_cg acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic closure_compiler tajs,80,11,53,11,69,27,27,0.47499999999999997780,0.20754716981132076414,1.00000000000000000000,0.34375000000000005551
nativecalls dynamic closure_compiler tajs acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic closure_compiler acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic npm_cg,80,11,43,11,69,37,37,0.59999999999999997780,0.25581395348837210335,1.00000000000000000000,0.40740740740740744030
nativecalls dynamic npm_cg tajs,80,11,43,11,69,37,37,0.59999999999999997780,0.25581395348837210335,1.00000000000000000000,0.40740740740740744030
nativecalls dynamic npm_cg tajs acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic npm_cg acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic tajs,80,11,53,11,69,27,27,0.47499999999999997780,0.20754716981132076414,1.00000000000000000000,0.34375000000000005551
nativecalls dynamic tajs acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls dynamic acg,80,11,28,7,69,52,48,0.68750000000000000000,0.25000000000000000000,0.63636363636363635354,0.35897435897435897578
nativecalls closure_compiler,80,11,80,11,69,0,0,0.13750000000000001110,0.13750000000000001110,1.00000000000000000000,0.24175824175824178752
nativecalls closure_compiler npm_cg,80,11,53,11,69,27,27,0.47499999999999997780,0.20754716981132076414,1.00000000000000000000,0.34375000000000005551
