Analyzer,AllFunctions,DeadFunctions,ClaimedDeadFunctions,TrueDeadFunctions,AliveFunctions,ClaimedAliveFunctions,TrueAliveFunctions
nativecalls closure_compiler wala npm_cg tajs acg,591,416,134,121,175,457,162
nativecalls closure_compiler wala npm_cg acg,591,416,134,121,175,457,162
nativecalls closure_compiler wala tajs,591,416,591,416,175,0,0
nativecalls closure_compiler wala tajs acg,591,416,134,121,175,457,162
nativecalls closure_compiler wala acg,591,416,134,121,175,457,162
nativecalls closure_compiler npm_cg,591,416,591,416,175,0,0
nativecalls closure_compiler npm_cg tajs,591,416,591,416,175,0,0
nativecalls closure_compiler npm_cg tajs acg,591,416,134,121,175,457,162
nativecalls closure_compiler npm_cg acg,591,416,134,121,175,457,162
nativecalls closure_compiler tajs,591,416,591,416,175,0,0
nativecalls closure_compiler tajs acg,591,416,134,121,175,457,162
nativecalls closure_compiler acg,591,416,134,121,175,457,162
nativecalls wala,591,416,591,416,175,0,0
nativecalls wala npm_cg,591,416,591,416,175,0,0
nativecalls wala npm_cg tajs,591,416,591,416,175,0,0
nativecalls wala npm_cg tajs acg,591,416,151,134,175,440,158
nativecalls wala npm_cg acg,591,416,151,134,175,440,158
nativecalls wala tajs,591,416,591,416,175,0,0
nativecalls wala tajs acg,591,416,151,134,175,440,158
nativecalls wala acg,591,416,151,134,175,440,158
nativecalls npm_cg,591,416,591,416,175,0,0
nativecalls npm_cg tajs,591,416,591,416,175,0,0
nativecalls npm_cg tajs acg,591,416,151,134,175,440,158
nativecalls npm_cg acg,591,416,151,134,175,440,158
nativecalls tajs,591,416,591,416,175,0,0
nativecalls tajs acg,591,416,151,134,175,440,158
nativecalls acg,591,416,151,134,175,440,158
closure_compiler,591,416,591,416,175,0,0
closure_compiler wala,591,416,591,416,175,0,0
closure_compiler wala npm_cg,591,416,591,416,175,0,0
closure_compiler wala npm_cg tajs,591,416,591,416,175,0,0
closure_compiler wala npm_cg tajs acg,591,416,138,124,175,453,161
closure_compiler wala npm_cg acg,591,416,138,124,175,453,161
closure_compiler wala tajs,591,416,591,416,175,0,0
closure_compiler wala tajs acg,591,416,138,124,175,453,161
closure_compiler wala acg,591,416,138,124,175,453,161
closure_compiler npm_cg,591,416,591,416,175,0,0
closure_compiler npm_cg tajs,591,416,591,416,175,0,0
closure_compiler npm_cg tajs acg,591,416,138,124,175,453,161
closure_compiler npm_cg acg,591,416,138,124,175,453,161
closure_compiler tajs,591,416,591,416,175,0,0
closure_compiler tajs acg,591,416,138,124,175,453,161
closure_compiler acg,591,416,138,124,175,453,161
wala,591,416,591,416,175,0,0
wala npm_cg,591,416,591,416,175,0,0
wala npm_cg tajs,591,416,591,416,175,0,0
wala npm_cg tajs acg,591,416,155,137,175,436,157
wala npm_cg acg,591,416,155,137,175,436,157
wala tajs,591,416,591,416,175,0,0
wala tajs acg,591,416,155,137,175,436,157
wala acg,591,416,155,137,175,436,157
npm_cg,591,416,591,416,175,0,0
npm_cg tajs,591,416,591,416,175,0,0
npm_cg tajs acg,591,416,155,137,175,436,157
npm_cg acg,591,416,155,137,175,436,157
tajs,591,416,591,416,175,0,0
tajs acg,591,416,155,137,175,436,157
acg,591,416,155,137,175,436,157
