Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
dynamic closure_compiler npm_cg acg,131,33,50,25,98,81,73,0.74809160305343513908,0.50000000000000000000,0.75757575757575756903,0.60240963855421691964
dynamic closure_compiler tajs,131,33,79,33,98,52,52,0.64885496183206103904,0.41772151898734177777,1.00000000000000000000,0.58928571428571430157
dynamic closure_compiler tajs acg,131,33,49,25,98,82,74,0.75572519083969469378,0.51020408163265307255,0.75757575757575756903,0.60975609756097559622
dynamic closure_compiler acg,131,33,50,25,98,81,73,0.74809160305343513908,0.50000000000000000000,0.75757575757575756903,0.60240963855421691964
dynamic npm_cg,131,33,80,33,98,51,51,0.64122137404580148434,0.41249999999999997780,1.00000000000000000000,0.58407079646017689978
dynamic npm_cg tajs,131,33,79,33,98,52,52,0.64885496183206103904,0.41772151898734177777,1.00000000000000000000,0.58928571428571430157
dynamic npm_cg tajs acg,131,33,49,25,98,82,74,0.75572519083969469378,0.51020408163265307255,0.75757575757575756903,0.60975609756097559622
dynamic npm_cg acg,131,33,50,25,98,81,73,0.74809160305343513908,0.50000000000000000000,0.75757575757575756903,0.60240963855421691964
dynamic tajs,131,33,79,33,98,52,52,0.64885496183206103904,0.41772151898734177777,1.00000000000000000000,0.58928571428571430157
dynamic tajs acg,131,33,49,25,98,82,74,0.75572519083969469378,0.51020408163265307255,0.75757575757575756903,0.60975609756097559622
dynamic acg,131,33,50,25,98,81,73,0.74809160305343513908,0.50000000000000000000,0.75757575757575756903,0.60240963855421691964
closure_compiler,131,33,131,33,98,0,0,0.25190839694656486092,0.25190839694656486092,1.00000000000000000000,0.40243902439024392681
closure_compiler npm_cg,131,33,126,33,98,5,5,0.29007633587786257889,0.26190476190476191798,1.00000000000000000000,0.41509433962264152829
closure_compiler npm_cg tajs,131,33,120,33,98,11,11,0.33587786259541985157,0.27500000000000002220,1.00000000000000000000,0.43137254901960792042
closure_compiler npm_cg tajs acg,131,33,59,25,98,72,64,0.67938931297709925783,0.42372881355932201508,0.75757575757575756903,0.54347826086956518843
closure_compiler npm_cg acg,131,33,61,25,98,70,62,0.66412213740458014843,0.40983606557377050272,0.75757575757575756903,0.53191489361702137817
closure_compiler tajs,131,33,121,33,98,10,10,0.32824427480916029687,0.27272727272727270709,1.00000000000000000000,0.42857142857142854764
closure_compiler tajs acg,131,33,59,25,98,72,64,0.67938931297709925783,0.42372881355932201508,0.75757575757575756903,0.54347826086956518843
closure_compiler acg,131,33,61,25,98,70,62,0.66412213740458014843,0.40983606557377050272,0.75757575757575756903,0.53191489361702137817
npm_cg,131,33,126,33,98,5,5,0.29007633587786257889,0.26190476190476191798,1.00000000000000000000,0.41509433962264152829
npm_cg tajs,131,33,120,33,98,11,11,0.33587786259541985157,0.27500000000000002220,1.00000000000000000000,0.43137254901960792042
npm_cg tajs acg,131,33,59,25,98,72,64,0.67938931297709925783,0.42372881355932201508,0.75757575757575756903,0.54347826086956518843
npm_cg acg,131,33,61,25,98,70,62,0.66412213740458014843,0.40983606557377050272,0.75757575757575756903,0.53191489361702137817
tajs,131,33,121,33,98,10,10,0.32824427480916029687,0.27272727272727270709,1.00000000000000000000,0.42857142857142854764
tajs acg,131,33,59,25,98,72,64,0.67938931297709925783,0.42372881355932201508,0.75757575757575756903,0.54347826086956518843
acg,131,33,61,25,98,70,62,0.66412213740458014843,0.40983606557377050272,0.75757575757575756903,0.53191489361702137817
