Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
nativecalls closure_compiler,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler wala,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler wala npm_cg,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler wala npm_cg tajs,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler wala npm_cg tajs acg,357,111,202,63,246,157,107,0.4762,0.3119,0.4350,0.3633
nativecalls closure_compiler wala npm_cg acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls closure_compiler wala tajs,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler wala tajs acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls closure_compiler wala acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls closure_compiler npm_cg,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler npm_cg tajs,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler npm_cg tajs acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls closure_compiler npm_cg acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls closure_compiler tajs,357,111,324,100,246,35,22,0.3417,0.3086,0.0894,0.1387
nativecalls closure_compiler tajs acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls closure_compiler acg,357,111,203,64,246,156,107,0.4790,0.3153,0.4350,0.3656
nativecalls wala,357,111,357,111,246,0,0,0.3109,0.3109,0.0000,0.0000
nativecalls wala npm_cg,357,111,357,111,246,0,0,0.3109,0.3109,0.0000,0.0000
nativecalls wala npm_cg tajs,357,111,347,108,246,10,7,0.3221,0.3112,0.0285,0.0521
nativecalls wala npm_cg tajs acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls wala npm_cg acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls wala tajs,357,111,357,111,246,0,0,0.3109,0.3109,0.0000,0.0000
nativecalls wala tajs acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls wala acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls npm_cg,357,111,357,111,246,0,0,0.3109,0.3109,0.0000,0.0000
nativecalls npm_cg tajs,357,111,357,111,246,0,0,0.3109,0.3109,0.0000,0.0000
nativecalls npm_cg tajs acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls npm_cg acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls tajs,357,111,357,111,246,0,0,0.3109,0.3109,0.0000,0.0000
nativecalls tajs acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
nativecalls acg,357,111,210,66,246,147,102,0.4706,0.3143,0.4146,0.3576
closure_compiler,357,111,327,102,246,32,21,0.3445,0.3119,0.0854,0.1340
closure_compiler wala,357,111,327,102,246,32,21,0.3445,0.3119,0.0854,0.1340
closure_compiler wala npm_cg,357,111,320,100,246,39,26,0.3529,0.3125,0.1057,0.1580
closure_compiler wala npm_cg tajs,357,111,327,102,246,32,21,0.3445,0.3119,0.0854,0.1340
closure_compiler wala npm_cg tajs acg,357,111,211,69,246,148,104,0.4846,0.3270,0.4228,0.3688
closure_compiler wala npm_cg acg,357,111,212,70,246,147,104,0.4874,0.3302,0.4228,0.3708
closure_compiler wala tajs,357,111,327,102,246,32,21,0.3445,0.3119,0.0854,0.1340
